EarthSat.Earth.SMA   EarthSat.Earth.ECC   EarthSat.EarthMJ2000Eq.INC   EarthSat.EarthMJ2000Eq.RAAN   EarthSat.EarthMJ2000Eq.AOP   EarthSat.Earth.OrbitPeriod   EarthSat.Earth.RadApo   EMSSat.A1Gregorian         EMSSat.Earth.SMA   EMSSat.Earth.ECC   EMSSat.EarthMJ2000Eq.INC   EMSSat.EarthMJ2000Eq.AOP   EMSSat.EarthMJ2000Eq.RAAN   EMSSat.Earth.OrbitPeriod   EMSSat.Earth.RadApo   
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
2.6e+05              0.23                 18.25                        0                             150                          1.319e+06                    3.198e+05               01 Jan 2019 12:00:37.034   2.6e+05            0.23               18.25                      150                        0                           1.319e+06                  3.198e+05             
